"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:25:50:429","83826086958336","   0.501","   0.762"," 1639"," 1100"," 2800"," 1623","   3.084","   1.545","   0.429","   0.445","   0.223","   0.062"," 32","0"," 31"," 41","  37.029","  31.000","   8.611","  45.000","  350","    0"
"08:25:50:939","83827258466646","   1.012","  28.101"," 3066"," 1100"," 3300"," 3102","  18.044","  10.757","   2.988","  14.974","   7.867","   2.185"," 47","0"," 31"," 51","  43.515","  62.000","  17.222","  45.000","  350","    0"
"08:25:51:444","83828417184508","   1.517","  31.261"," 3071"," 1200"," 3300"," 3099","  18.304","  20.000","   5.555","  15.203","  15.544","   4.318"," 49","0"," 36"," 51","  44.591","  98.000","  27.222","  45.000","  350","    0"
"08:25:51:945","83829567209560","   2.018","  16.137"," 2961"," 1100"," 3300"," 2985","  11.213","  25.619","   7.116","   8.295","  19.701","   5.472"," 40","0"," 34"," 52","  44.522"," 132.000","  36.667","  45.000","  350","    0"
"08:25:52:454","83830734150417","   2.526","   9.298"," 2680"," 1100"," 3300"," 2722","   7.441","  29.403","   8.167","   4.594","  22.037","   6.121"," 44","0"," 33"," 48","  41.668"," 165.000","  45.833","  45.000","  350","  700"
"08:25:52:960","83831895781716","   3.032","  17.005"," 2906"," 1100"," 3300"," 2964","  11.577","  35.263","   9.795","   8.469","  26.324","   7.312"," 38","0"," 35"," 50","  43.470"," 200.000","  55.556","  45.000","  350","    0"
"08:25:53:465","83833055893047","   3.538","   1.287"," 1479"," 1100"," 2300"," 1476","   3.107","  36.834","  10.232","   0.542","  26.598","   7.388"," 37","0"," 33"," 44","  39.682"," 233.000","  64.722","  45.000","  350","    0"
"08:25:53:968","83834210033069","   4.041","   0.977"," 1449"," 1100"," 2300"," 1452","   3.041","  38.363","  10.656","   0.481","  26.840","   7.456"," 34","0"," 33"," 43","  38.381"," 266.000","  73.889","  45.000","  350","    0"
"08:25:54:471","83835364251660","   4.544","   0.741"," 1472"," 1100"," 2500"," 1489","   2.966","  39.855","  11.071","   0.416","  27.049","   7.514"," 41","0"," 32"," 42","  35.925"," 298.000","  82.778","  45.000","  350","    0"
"08:25:54:974","83836518335984","   5.047","   1.293"," 1518"," 1100"," 2400"," 1529","   3.116","  41.422","  11.506","   0.557","  27.329","   7.591"," 38","0"," 32"," 43","  38.192"," 330.000","  91.667","  45.000","  350","    0"
