,System Time,Variant,Total Elapsed Time (sec),Measured RDTSC Frequency (GHz),Cumulative Package Energy_0 (Joules),Cumulative Package Energy_0 (mWh),Average Package Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0 (mWh),Average Package IA_0 (Watt),Cumulative DRAM Energy_0 (Joules),Cumulative DRAM Energy_0 (mWh),Average Package DRAM_0 (Watt),Average Package Temperature_0(C),Median Package Temperature_0(C),Minimum Package Temperature_0(C),Maximum Package Temperature_0(C)
53,2023-05-22 05:30:45.346806272,safari_static,93.821082,2.295,304.445297,84.568138,3.244956,64.744202,17.9845,0.690082,5819.0,1616.388889,62.022307,34.98924731182796,33.0,31.0,51.0
187,2023-05-22 05:32:49.570399744,safari_dynamic,93.533171,2.295,299.827057,83.285294,3.205569,61.662857,17.128571,0.659262,5781.0,1605.833333,61.80695,34.73513513513514,33.0,31.0,50.0
59,2023-05-22 05:34:55.921709056,safari_static,95.514212,2.295,307.12262,85.311839,3.215465,64.157654,17.821571,0.671708,5805.0,1612.5,60.776296,34.96296296296296,34.0,29.0,51.0
30,2023-05-22 05:37:01.734058752,chrome_dynamic,94.925788,2.295,376.854813,104.681892,3.969994,131.533539,36.537094,1.385646,5903.0,1639.722222,62.18542,36.090425531914896,33.0,30.0,53.0
56,2023-05-22 05:39:26.679411200,safari_static,133.776092,2.295,430.419449,119.560958,3.217462,85.971985,23.881107,0.642656,7966.0,2212.777778,59.547262,33.969811320754715,32.0,30.0,47.0
188,2023-05-22 05:41:50.952443392,safari_dynamic,93.569012,2.295,299.862213,83.295059,3.204717,62.670776,17.408549,0.669781,5513.0,1531.388889,58.919079,34.14594594594595,33.0,29.0,49.0
68,2023-05-22 05:43:55.221097472,safari_static,93.657224,2.295,303.026215,84.173948,3.235481,65.488419,18.191227,0.699235,5460.0,1516.666667,58.297692,33.41621621621621,31.0,29.0,49.0
167,2023-05-22 05:45:59.616237568,safari_dynamic,93.855833,2.295,297.730011,82.702781,3.172206,60.644531,16.845703,0.646146,5365.0,1490.277778,57.162137,32.42702702702703,31.0,29.0,49.0
65,2023-05-22 05:48:04.080518656,safari_static,93.688362,2.295,298.76033,82.988981,3.188873,62.11261,17.253503,0.66297,5277.0,1465.833333,56.325032,32.35675675675676,31.0,28.0,49.0
166,2023-05-22 05:50:08.470607616,safari_dynamic,93.823847,2.295,299.22261,83.117392,3.189196,62.141449,17.261514,0.66232,5292.0,1470.0,56.403571,32.38172043010753,30.0,28.0,48.0
183,2023-05-22 05:52:12.665908224,safari_dynamic,93.471736,2.295,299.603607,83.223224,3.205286,63.52652,17.646255,0.679633,5276.0,1465.555556,56.44487,32.4,30.0,28.0,49.0
44,2023-05-22 05:54:17.505760512,chrome_dynamic,94.915874,2.295,389.658661,108.238517,4.105306,143.770477,39.936244,1.514715,5726.0,1590.555556,60.327106,34.5531914893617,32.0,29.0,50.0
49,2023-05-22 05:56:23.046478848,chrome_dynamic,95.087033,2.295,381.21579,105.893275,4.009125,135.487869,37.635519,1.424883,5709.0,1585.833333,60.039732,35.111702127659576,32.5,29.0,49.0
60,2023-05-22 05:58:48.046400,safari_static,133.695844,2.295,433.5811,120.439195,3.243041,88.783981,24.662217,0.664074,7917.0,2199.166667,59.216501,34.052830188679245,32.0,29.0,47.0
63,2023-05-22 06:01:12.511521536,safari_static,93.858143,2.295,303.363083,84.267523,3.232145,65.039444,18.066512,0.692955,5419.0,1505.277778,57.736067,33.354838709677416,31.5,28.0,48.0
85,2023-05-22 06:03:16.803729664,safari_static,93.618487,2.295,302.321228,83.978119,3.22929,64.652649,17.959069,0.690597,5497.0,1526.944444,58.717035,33.064864864864866,31.0,28.0,46.0
42,2023-05-22 06:05:21.713713152,chrome_dynamic,95.055797,2.295,382.013626,106.114896,4.018836,136.162338,37.822872,1.432446,5757.0,1599.166667,60.564428,35.212765957446805,33.0,29.0,48.0
134,2023-05-22 06:07:27.113663232,chrome_static,94.523293,2.295,386.541489,107.372636,4.089378,140.772812,39.103559,1.489292,5831.0,1619.722222,61.688498,36.56149732620321,37.0,30.0,49.0
131,2023-05-22 06:09:32.285523968,chrome_static,94.540387,2.295,380.369263,105.658129,4.023352,135.277481,37.577078,1.430896,5819.0,1616.388889,61.550414,35.82887700534759,33.0,30.0,52.0
41,2023-05-22 06:11:38.347759360,chrome_dynamic,96.331778,2.295,392.994446,109.165124,4.079593,141.916016,39.421115,1.4732,6003.0,1667.5,62.315885,36.64397905759162,35.0,31.0,49.0
80,2023-05-22 06:13:44.076209664,safari_static,93.898059,2.295,307.729935,85.480537,3.277277,68.601898,19.056083,0.7306,5575.0,1548.611111,59.372899,34.53763440860215,33.0,29.0,48.0
137,2023-05-22 06:15:49.039664896,chrome_static,94.872579,2.295,386.025101,107.229195,4.06888,139.625183,38.784773,1.471713,5826.0,1618.333333,61.408681,35.861702127659576,34.0,30.0,51.0
94,2023-05-22 06:18:13.779227136,safari_static,133.520003,2.295,426.6026,118.500722,3.195046,84.122894,23.367471,0.63004,7753.0,2153.611111,58.066206,33.496212121212125,32.0,29.0,47.0
138,2023-05-22 06:20:38.528192512,chrome_static,94.615045,2.295,379.66185,105.461625,4.012701,134.836197,37.454499,1.425103,5784.0,1606.666667,61.131927,35.73262032085562,34.0,30.0,49.0
34,2023-05-22 06:22:45.162958848,chrome_dynamic,97.369896,2.295,396.721222,110.200339,4.074372,143.006577,39.724049,1.468694,6051.0,1680.833333,62.144464,36.18652849740933,34.0,30.0,48.0
31,2023-05-22 06:24:53.056083200,chrome_dynamic,96.992097,2.295,392.636429,109.065675,4.048128,140.261642,38.961567,1.446114,6077.0,1688.055556,62.654589,36.260416666666664,33.5,30.0,50.0
182,2023-05-22 06:27:19.522554112,safari_dynamic,134.755137,2.295,434.279526,120.633202,3.222731,86.626373,24.062881,0.642843,8107.0,2251.944444,60.160972,33.72284644194757,32.0,29.0,48.0
37,2023-05-22 06:29:45.460126464,chrome_dynamic,95.875046,2.295,384.125977,106.70166,4.006527,135.305389,37.58483,1.411268,5996.0,1665.555556,62.539735,36.21052631578947,34.0,30.0,49.0
38,2023-05-22 06:31:51.469112320,chrome_dynamic,94.958596,2.295,384.464584,106.795718,4.04876,137.113754,38.087154,1.443932,6029.0,1674.722222,63.490829,36.819148936170215,34.0,31.0,50.0
99,2023-05-22 06:34:16.509452800,safari_static,133.935626,2.295,456.088226,126.691174,3.405279,107.628281,29.896745,0.803582,8215.0,2281.944444,61.335436,35.27924528301887,33.0,30.0,49.0
117,2023-05-22 06:36:42.560994560,chrome_static,96.796006,2.295,395.398605,109.832946,4.084865,142.547897,39.596638,1.472663,6199.0,1721.944444,64.041898,37.479166666666664,36.0,31.0,51.0
17,2023-05-22 06:38:49.335095296,chrome_dynamic,95.383455,2.295,385.792664,107.164629,4.04465,137.30275,38.139653,1.439482,6131.0,1703.055556,64.277395,37.42857142857143,35.0,32.0,53.0
116,2023-05-22 06:40:55.939193856,chrome_static,96.592667,2.295,393.235382,109.232051,4.071069,141.031342,39.175373,1.460063,6161.0,1711.388889,63.78331,37.738219895287955,37.0,31.0,51.0
92,2023-05-22 06:43:22.180820224,safari_static,134.715484,2.295,438.30777,121.752158,3.253581,89.336456,24.815682,0.663149,8263.0,2295.277778,61.336676,35.337078651685395,34.0,30.0,49.0
91,2023-05-22 06:46:31.657021184,safari_static,93.642879,2.295,302.124924,83.92359,3.226352,63.67865,17.688514,0.680016,5673.0,1575.833333,60.581221,35.167567567567566,33.0,31.0,49.0
133,2023-05-22 06:48:36.711090688,chrome_static,95.142531,2.295,382.786316,106.329532,4.023293,135.809799,37.724944,1.427435,5980.0,1661.111111,62.853068,36.973404255319146,36.0,31.0,49.0
186,2023-05-22 06:51:01.821618944,safari_dynamic,133.78902,2.295,435.454483,120.959579,3.254785,89.652039,24.903344,0.6701,8209.0,2280.277778,61.357801,34.88301886792453,33.0,30.0,49.0
132,2023-05-22 06:53:28.418288640,chrome_static,98.04428,2.295,399.985306,111.107029,4.079639,144.358246,40.099513,1.472378,6199.0,1721.944444,63.226534,37.8041237113402,37.0,31.0,50.0
136,2023-05-22 06:55:35.704850944,chrome_static,95.204489,2.295,385.523361,107.089823,4.049424,137.425095,38.173637,1.443473,6170.0,1713.888889,64.807868,38.6063829787234,38.0,32.0,53.0
84,2023-05-22 06:58:01.152142848,safari_static,134.452189,2.295,436.18161,121.161558,3.244139,87.915192,24.420887,0.653877,8383.0,2328.611111,62.349301,35.66541353383459,34.0,31.0,49.0
81,2023-05-22 07:00:25.801881088,safari_static,93.446368,2.295,302.203827,83.945507,3.233982,63.720001,17.7,0.681888,5794.0,1609.444444,62.00348,34.72432432432432,33.0,31.0,50.0
87,2023-05-22 07:01:44.903800064,safari_static,2.517807,2.295,24.600662,6.833517,9.770669,17.352173,4.820048,6.89178,168.0,46.666667,66.724727,42.2,43.0,33.0,49.0
16,2023-05-22 07:03:04.491841024,chrome_dynamic,95.62367,2.295,385.300308,107.027863,4.02934,136.49057,37.914047,1.427372,6158.0,1710.555556,64.398281,36.93121693121693,34.0,31.0,52.0
33,2023-05-22 07:05:12.208082176,chrome_dynamic,98.44796,2.295,397.496674,110.415743,4.037632,140.105225,38.918118,1.42314,6411.0,1780.833333,65.120699,37.723076923076924,35.0,32.0,52.0
88,2023-05-22 07:07:38.959358208,safari_static,133.89376,2.295,430.779297,119.660916,3.217322,84.456116,23.460032,0.63077,8369.0,2324.722222,62.50478,35.886792452830186,34.0,32.0,51.0
32,2023-05-22 07:10:04.075787008,chrome_dynamic,94.940674,2.295,379.515045,105.420846,3.997392,133.077774,36.966048,1.401694,6043.0,1678.611111,63.650275,37.079787234042556,34.0,31.0,51.0
67,2023-05-22 07:12:09.130161152,safari_static,93.961578,2.295,310.708786,86.307996,3.306764,69.851532,19.403203,0.743405,5882.0,1633.888889,62.600056,36.29032258064516,34.0,31.0,50.0
66,2023-05-22 07:14:13.672026880,safari_static,93.838313,2.295,370.622818,102.950783,3.94959,127.971405,35.547613,1.363744,5889.0,1635.833333,62.756883,36.505376344086024,34.0,31.0,52.0
36,2023-05-22 07:16:20.379599872,chrome_dynamic,98.357048,2.295,397.775665,110.49324,4.044201,140.904678,39.140188,1.432583,6417.0,1782.5,65.241893,38.03076923076923,36.0,32.0,51.0
139,2023-05-22 07:18:30.883438592,chrome_static,94.623774,2.295,386.79776,107.443822,4.087744,139.877457,38.854849,1.478249,6168.0,1713.333333,65.184464,38.160427807486634,37.0,32.0,52.0
189,2023-05-22 07:20:55.672788736,safari_dynamic,133.780941,2.295,430.257874,119.516076,3.216137,84.182983,23.384162,0.62926,8432.0,2342.222222,63.02841,36.4566037735849,34.0,32.0,53.0
83,2023-05-22 07:23:20.237193216,safari_static,94.045203,2.295,307.781479,85.494855,3.272697,67.329544,18.702651,0.715927,5850.0,1625.0,62.20413,36.69892473118279,36.0,31.0,50.0
39,2023-05-22 07:25:25.146443776,chrome_dynamic,94.509593,2.295,385.544769,107.095769,4.079425,139.459671,38.738798,1.475614,6081.0,1689.166667,64.342675,37.593582887700535,35.0,32.0,55.0
82,2023-05-22 07:27:50.335007488,safari_static,134.280481,2.295,437.471634,121.519898,3.257894,89.197418,24.777061,0.664262,8397.0,2332.5,62.533288,36.46992481203007,35.0,31.0,51.0
145,2023-05-22 07:30:16.912715264,chrome_static,97.416399,2.295,400.309189,111.196997,4.109259,145.500748,40.416874,1.493596,6276.0,1743.333333,64.424471,38.83937823834197,39.0,31.0,51.0
86,2023-05-22 07:32:42.838966016,safari_static,133.446517,2.295,430.673294,119.631471,3.22731,85.683441,23.800956,0.642081,8277.0,2299.166667,62.024849,35.29924242424242,33.0,31.0,51.0
195,2023-05-22 07:35:07.065178112,safari_dynamic,93.722791,2.295,297.851456,82.736515,3.178005,59.844116,16.623366,0.638523,5697.0,1582.5,60.785642,34.87567567567567,33.0,30.0,52.0
198,2023-05-22 07:37:11.262226944,safari_dynamic,93.437198,2.295,299.173386,83.103718,3.201866,61.670547,17.130708,0.660021,5675.0,1576.388889,60.735982,34.902702702702705,33.0,30.0,49.0
